horizon,decile,mean,se,t_stat,n_events,n_quarters
1,1,-0.004739445243047129,0.0005234972417117621,-9.053429255042133,18170,72
1,2,-0.003205556702318638,0.00041576995970025825,-7.709928597606296,18130,72
1,3,-0.002183841918631824,0.00038727008588004987,-5.639066889633791,16874,72
1,4,-0.0011020707293583408,0.00034589228834052625,-3.186167389408136,22408,72
1,5,0.0003079914146563872,0.00035007650955116976,0.8797831509782261,15204,72
1,6,0.00017474022393332978,0.00046022324071225075,0.37968578827722455,19100,72
1,7,0.0012892541584754531,0.0003561552913366769,3.6199213933809262,18361,72
1,8,0.001380654412336444,0.0004418291590998274,3.1248603309690055,17444,72
1,9,0.0026475123621218406,0.00040942296292105956,6.466448152377581,18717,72
1,10,0.0036055673651260852,0.00044320565031814917,8.135201711751368,18173,72
5,1,-0.007854192803273064,0.0011622573799207722,-6.757705254414871,18156,72
5,2,-0.005165844710445841,0.0010546533950311758,-4.898144484988016,18122,72
5,3,-0.0027847969481931303,0.0010395624151801459,-2.678816497718949,16870,72
5,4,-0.0015263920025539424,0.0009858450380151003,-1.5483082469301452,22398,72
5,5,-0.0005607821304294335,0.001006584590464927,-0.5571137644481685,15196,72
5,6,0.00020483555488246073,0.001040205019906858,0.19691844488579963,19093,72
5,7,0.00148246260734121,0.0009180722585084608,1.6147559122957074,18355,72
5,8,0.002824905877616616,0.0009652004114565341,2.9267557743305312,17435,72
5,9,0.004672672484007861,0.0010638216327701212,4.392345803159248,18707,72
5,10,0.007578571338150756,0.001012998836724871,7.481322844015352,18167,72
10,1,-0.006477619754713982,0.002112176396971564,-3.066798665112244,18123,72
10,2,-0.004180715688482822,0.0018640055711826033,-2.2428665198840583,18108,72
10,3,-0.0017551709314106805,0.0016527636473299967,-1.0619612394343985,16858,72
10,4,-0.0007580657761691455,0.0015436057085919741,-0.4911006560481225,22384,72
10,5,0.0001333536649609482,0.0016673216542864202,0.07998076712919612,15186,72
10,6,0.0015054955558098184,0.0016969418574785712,0.8871815785408131,19085,72
10,7,0.0031971722941374118,0.001450936338698398,2.2035234826398535,18343,72
10,8,0.003679753136026795,0.0015066551274333453,2.4423327336332235,17429,72
10,9,0.007836106884342709,0.0017140236076239278,4.571761351178555,18700,72
10,10,0.010536875997232657,0.00152922741266111,6.890326389648444,18153,72
20,1,-0.0038612533946628313,0.003130177440781563,-1.2335573518473535,18080,72
20,2,-0.0015461061787029077,0.0029457180046115043,-0.5248656443972192,18077,72
20,3,0.0015771978706225318,0.00282547715597317,0.5582058475639321,16832,72
20,4,0.0016599030531076514,0.0025166823449254173,0.6595600181543146,22359,72
20,5,0.003692463291950077,0.0027343245701831518,1.3504114808516483,15171,72
20,6,0.004680157594404976,0.0026808393397137675,1.7457807057190808,19069,72
20,7,0.005594861537919622,0.002320844206396719,2.410701038225248,18323,72
20,8,0.007826798056649282,0.0024974845246367736,3.1338724942800544,17406,72
20,9,0.01166766532858497,0.0024800929780645496,4.704527383360583,18686,72
20,10,0.015744167021594004,0.002454168287939268,6.4152760423834545,18118,72
40,1,-0.0006443751835777944,0.005715170470549599,-0.11274820005777153,17963,72
40,2,0.0011421052515678566,0.005296190585684125,0.21564655446029937,17991,72
40,3,0.004166718622059061,0.005070347198599756,0.821781716094266,16764,72
40,4,0.003395093958337967,0.0042981325974205935,0.7898997719091867,22281,72
40,5,0.006607065375394134,0.0040314725293849165,1.6388714860974574,15117,72
40,6,0.007039449809173824,0.00424889225847292,1.6567729612668147,19016,72
40,7,0.008101109539722994,0.0041107987903134455,1.9706898714702819,18271,72
40,8,0.012736212125234918,0.003920417315496301,3.248687856492286,17354,72
40,9,0.016230442768825057,0.0037707128040948374,4.304343399263787,18627,72
40,10,0.02298818114230759,0.004081539854003184,5.63223243300215,18048,72
60,1,0.0019400803754644942,0.008294968174761368,0.2338864157872802,17831,72
60,2,0.002945375620355303,0.007680085701296356,0.38350817099061013,17894,72
60,3,0.009260903017174006,0.007781244565936544,1.190157042192822,16689,72
60,4,0.0061824196669607746,0.0059875874886392766,1.032539345552974,22192,72
60,5,0.011521540454406152,0.005590748738811107,2.0608224394745824,15058,72
60,6,0.01056272047458496,0.005682431892590489,1.8588380246770824,18942,72
60,7,0.012911918599016635,0.005493329796857824,2.3504721319302972,18211,72
60,8,0.02053769221762379,0.005204877260666058,3.9458552409736596,17296,72
60,9,0.024795214054482775,0.005621033296005114,4.411148760158531,18549,72
60,10,0.0323936182292704,0.005534494138754786,5.853040479786051,17971,72
